scenario_seed,phase_error_s,planner,total_time_s,flight_distance_m,max_blackout_s,meets_90s_budget,mission_feasible,planning_runtime_ms,route
706,30.0,distance_only,1233.872,2614.178,135.007,0,1,0.022,N08 -> N04 -> N11 -> N09 -> N07 -> N12 -> N10 -> N01 -> N13 -> N14 -> N05 -> N06 -> N03 -> N02
706,30.0,protocol_aware,1217.117,3902.346,145.379,0,1,194.016,N09 -> N01 -> N07 -> N14 -> N05 -> N13 -> N10 -> N02 -> N04 -> N11 -> N12 -> N06 -> N03 -> N08
706,30.0,bounded_blackout,1248.7,3672.679,224.77,0,1,1378.111,N08 -> N03 -> N06 -> N09 -> N12 -> N14 -> N05 -> N07 -> N01 -> N13 -> N02 -> N04 -> N10 -> N11
707,0.0,distance_only,2284.368,2468.434,220.862,0,0,0.021,N07 -> N02 -> N06 -> N11 -> N04 -> N08 -> N14 -> N03 -> N10 -> N09 -> N01 -> N05 -> N13 -> N12
707,0.0,protocol_aware,1391.281,2715.08,118.256,0,1,403.372,N01 -> N10 -> N03 -> N14 -> N12 -> N02 -> N13 -> N07 -> N04 -> N05 -> N08 -> N06 -> N11 -> N09
707,0.0,bounded_blackout,1391.546,3464.921,89.415,1,1,2147.587,N04 -> N11 -> N07 -> N12 -> N01 -> N10 -> N14 -> N02 -> N08 -> N13 -> N03 -> N06 -> N05 -> N09
707,2.0,distance_only,2282.649,2468.434,220.548,0,0,0.021,N07 -> N02 -> N06 -> N11 -> N04 -> N08 -> N14 -> N03 -> N10 -> N09 -> N01 -> N05 -> N13 -> N12
707,2.0,protocol_aware,1870.143,2715.08,220.335,0,0,403.372,N01 -> N10 -> N03 -> N14 -> N12 -> N02 -> N13 -> N07 -> N04 -> N05 -> N08 -> N06 -> N11 -> N09
707,2.0,bounded_blackout,1390.407,3464.921,90.335,0,1,2147.587,N04 -> N11 -> N07 -> N12 -> N01 -> N10 -> N14 -> N02 -> N08 -> N13 -> N03 -> N06 -> N05 -> N09
707,5.0,distance_only,2282.986,2468.434,221.188,0,0,0.021,N07 -> N02 -> N06 -> N11 -> N04 -> N08 -> N14 -> N03 -> N10 -> N09 -> N01 -> N05 -> N13 -> N12
707,5.0,protocol_aware,1873.388,2715.08,220.558,0,0,403.372,N01 -> N10 -> N03 -> N14 -> N12 -> N02 -> N13 -> N07 -> N04 -> N05 -> N08 -> N06 -> N11 -> N09
707,5.0,bounded_blackout,1393.652,3464.921,92.481,0,1,2147.587,N04 -> N11 -> N07 -> N12 -> N01 -> N10 -> N14 -> N02 -> N08 -> N13 -> N03 -> N06 -> N05 -> N09
707,10.0,distance_only,2291.077,2468.434,220.656,0,0,0.021,N07 -> N02 -> N06 -> N11 -> N04 -> N08 -> N14 -> N03 -> N10 -> N09 -> N01 -> N05 -> N13 -> N12
